,image_url,shown_price,model_year,car_title,msrp,city_mpg,class,combination_mpg,cylinders,displacement,drive,fuel_type,highway_mpg,make,model,transmission,year
29,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/priuspluginhybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,40070.0,2025,Prius Plug-in Hybrid,33375.0,57,midsize car,57,4,2.0,fwd,gas,56,toyota,prius,a,2024
30,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/rav4/base.png?bg=fff&fmt=webp&qlt=90&wid=345,39950.0,2024,RAV4,28675.0,27,small sport utility vehicle,30,4,2.5,fwd,gas,35,toyota,rav4,a,2024
31,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/rav4hybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,34945.0,2024,RAV4 Hybrid,31725.0,27,small sport utility vehicle,30,4,2.5,fwd,gas,35,toyota,rav4,a,2024
32,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/rav4/base.png?bg=fff&fmt=webp&qlt=90&wid=345,37155.0,2025,RAV4,28850.0,27,small sport utility vehicle,30,4,2.5,fwd,gas,35,toyota,rav4,a,2024
33,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/rav4hybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,35120.0,2025,RAV4 Hybrid,31900.0,27,small sport utility vehicle,30,4,2.5,fwd,gas,35,toyota,rav4,a,2024
34,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/rav4pluginhybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,51170.0,2025,RAV4 Plug-in Hybrid,43865.0,27,small sport utility vehicle,30,4,2.5,fwd,gas,35,toyota,rav4,a,2024
35,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/sequoia/base.png?bg=fff&fmt=webp&qlt=90&wid=345,80860.0,2025,Sequoia,62425.0,21,standard sport utility vehicle,22,6,3.4,rwd,gas,24,toyota,sequoia 2wd,a,2024
36,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/sienna/base.png?bg=fff&fmt=webp&qlt=90&wid=345,47115.0,2025,Sienna,39185.0,36,minivan,36,4,2.5,fwd,gas,36,toyota,sienna 2wd,a,2024
37,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/tacoma/base.png?bg=fff&fmt=webp&qlt=90&wid=345,43325.0,2024,Tacoma,31500.0,20,small pickup truck,22,4,2.4,rwd,gas,24,toyota,tacoma sr5/sport/prerunner 2wd,a,2024
38,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/tacoma/base.png?bg=fff&fmt=webp&qlt=90&wid=345,42900.0,2025,Tacoma,31590.0,20,small pickup truck,22,4,2.4,rwd,gas,24,toyota,tacoma sr5/sport/prerunner 2wd,a,2024
39,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/tacomahybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,64900.0,2024,Tacoma i-FORCE MAX,46300.0,20,small pickup truck,22,4,2.4,rwd,gas,24,toyota,tacoma sr5/sport/prerunner 2wd,a,2024
40,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/tacomahybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,63735.0,2025,Tacoma i-FORCE MAX,46320.0,20,small pickup truck,22,4,2.4,rwd,gas,24,toyota,tacoma sr5/sport/prerunner 2wd,a,2024
41,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/toyotacrown/base.png?bg=fff&fmt=webp&qlt=90&wid=345,45950.0,2025,Toyota Crown,41440.0,could not find,could not find,could not find,could not find,could not find,could not find,could not find,could not find,could not find,could not find,could not find,could not find
42,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/toyotacrownsignia/base.png?bg=fff&fmt=webp&qlt=90&wid=345,47990.0,2025,Toyota Crown Signia,43590.0,could not find,could not find,could not find,could not find,could not find,could not find,could not find,could not find,could not find,could not find,could not find,could not find
43,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/tundra/base.png?bg=fff&fmt=webp&qlt=90&wid=345,56905.0,2024,Tundra,39965.0,18,standard pickup truck,20,6,3.4,rwd,gas,23,toyota,tundra 2wd,a,2024
44,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/tundra/base.png?bg=fff&fmt=webp&qlt=90&wid=345,48010.0,2025,Tundra,40090.0,18,standard pickup truck,20,6,3.4,rwd,gas,23,toyota,tundra 2wd,a,2024
45,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/tundrahybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,79270.0,2024,Tundra i-FORCE MAX,57625.0,18,standard pickup truck,20,6,3.4,rwd,gas,23,toyota,tundra 2wd,a,2024
46,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/tundrahybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,72510.0,2025,Tundra i-FORCE MAX,58005.0,18,standard pickup truck,20,6,3.4,rwd,gas,23,toyota,tundra 2wd,a,2024
47,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/venza/base.png?bg=fff&fmt=webp&qlt=90&wid=345,40405.0,2024,Venza,35070.0,40,small sport utility vehicle,39,4,2.5,awd,gas,37,toyota,venza awd,a,2024
